# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileByIdCache.misses,1736318043812000000,1736318104025000000,936
Indexing.totalTimeIndexersSleptMs,1736318104025000000,1736318163883000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1736318104025000000,1736318163883000000,0
Indexing.writesQueuedMax,1736318104025000000,1736318163883000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1736318104025000000,1736318163883000000,0
IndexesFlusher.totalContentionQuotaSpent,1736318104025000000,1736318163883000000,0
IndexesFlusher.totalFlushesRetried,1736318104025000000,1736318163883000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1736318104025000000,1736318163883000000,0
Indexing.cache.totalCacheAccesses,1736318104025000000,1736318163883000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1736318104025000000,1736318163883000000,0
Indexing.cache.totalCacheEvicted,1736318104025000000,1736318163883000000,0
IndexesFlusher.totalFlushingTimeUs,1736318104025000000,1736318163883000000,666181
IndexesFlusher.totalFlushes,1736318104025000000,1736318163883000000,118
Indexing.cache.totalCacheMisses,1736318104025000000,1736318163883000000,0
Indexing.writesQueuedMin,1736318104025000000,1736318163883000000,9223372036854775807
writeAction.count,1736318104025000000,1736318163883000000,0
DiskQueryRelay.tasksExecuted,1736318104025000000,1736318163883000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1736318104025000000,1736318163883000000,0
DiskQueryRelay.taskWaitingTotalTimeUs,1736318104025000000,1736318163883000000,0
writeAction.max.wait.ms,1736318104025000000,1736318163883000000,22
writeAction.wait.ms,1736318104025000000,1736318163883000000,0
writeAction.median.wait.ms,1736318104025000000,1736318163883000000,0
DiskQueryRelay.tasksRequested,1736318104025000000,1736318163883000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1736318104025000000,1736318163883000000,0
